NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XVII Congresso Interno de Iniciação Científica da Unicamp (PIBIC)","","","","Campinas","",0
"SPIE Medical Imaging 2016","","","","San Diego","",1
"The 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'16)","","","","Orlando","",2
"RSNA Scientific Assembly and Annual Meeting","","","","Chicago","",3
"SPIE Medical Imaging","","","","Lake Buena Vista","",4
"2014 22nd International Conference on Pattern Recognition (ICPR)","","","","Stockolm","",5
"29th SIBGRAPI Conference on Graphics, Patterns and Images","","","","São José dos Campos","",6
"20o. Congresso Nacional de Administração de Recursos Humanos","","","","São Paulo","",7
"SPIE Medical Imaging","","","","San Diego","",8
"SPIE Medical Imaging 2015","","","","Orlando","",9
"International Conference in Computational Science (ICCS 2011)","","","","","",10
"First Congress CEPID BRAINN","","","","Campinas","",11
"SPIE Medical Imaging","","","","San Diego","",12
"SPIE Medical Imaging","","","","Lake Buena Vista","",13
"XXV Congresso Brasileiro de Engenharia Biomédica","","","","Foz do Iguaçu","",14
"Annual Scientific Meeting Arthritis & Rheumatism","","","","Washington","",15
