NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","DTI regularization","2017","Brasil","Português","","","",0
"Tese de doutorado","Caracterização do Corpo Caloso","2017","Brasil","Português","","","",1
"Tese de doutorado","Caracterização do corpo caloso a partir de imagens de ressonância magnética","2013","Brasil","Português","","","",2
"Tese de doutorado","Deep learning in large neuroimaging datasets","2016","Brasil","Português","","","",3
