FINALIDADE,FINALIDADE-INGLES,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id
"Curso de curta duração","",0
"Material para Tutorial apresentado no apresentado no XXIV Conference on Graphics, Patterns and Images (SIBGRAPI2011)","",1
