APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"26",0
1,"27",0
2,"28",0
3,"34",0
4,"35",0
5,"38",0
6,"43",0
7,"47",0
8,"51",0
9,"54",0
10,"56",0
11,"64",0
12,"67",0
13,"69",0
14,"73",0
15,"74",0
16,"77",0
17,"78",0
18,"79",0
19,"80",0
20,"82",0
21,"84",0
22,"116",0
23,"117",0
24,"118",0
25,"119",0
26,"120",0
27,"134",0
28,"135",0
29,"136",0
30,"137",0
31,"138",0
32,"139",0
33,"140",0
34,"141",0
35,"153",0
36,"154",0
37,"166",0
38,"176",0
39,"185",0
40,"199",0
41,"238",0
42,"239",0
43,"240",0
44,"241",0
45,"244",0
46,"260",0
47,"269",0
48,"66",0
