PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"278",0
1,"142",0
2,"16",0
3,"65",0
4,"81",0
5,"12",0
