TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"96",0
1,"97",0
2,"98",0
3,"99",0
4,"100",0
5,"101",0
6,"174",0
7,"225",0
8,"226",0
9,"227",0
10,"295",0
11,"175",0
