PARTICIPACAO-EM-SIMPOSIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"165",0
1,"217",0
2,"46",0
3,"39",0
4,"13",0
5,"14",0
6,"10",0
7,"68",0
8,"15",0
9,"262",0
10,"144",0
11,"168",0
12,"41",0
13,"48",0
14,"145",0
15,"29",0
