PROGRAMA-DE-RADIO-OU-TV_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"206",0
1,"293",0
2,"294",0
3,"194",0
