TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Gazeta de Barão","","01031992","","","","Campinas",0
"Diário do Povo","","07041992","","","","Campinas",1
"Jornal da UNICAMP","","18032013","","","","Campinas, SP",2
"Jornal da Unicamp","","18042017","","","","",3
"Jornal Regional - EPTV - Rede Globo","","15041992","","","","",4
