INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Faculdade de Engenharia Elétrica e de Computação da Universidade Estadual de Campinas","1","N","","Universidade Estadual de Campinas","Campinas",0
"Sociedade Brasileira de Computaçao","","N","","","Rio de Janeiro",1
"Universidade Estadual de Campinas","1","N","","Faculdade de Engenharia Elétrica e de Computação","Campinas",2
"Faculdade de Engenharia Elétrica e de Computação","1","N","","Faculdade de Engenharia Elétrica e de Computação","Campinas",3
"Faculdade de Engenharia Elétrica e de Computação da Universidade Estadual de Campinas","1","N","","Faculdade de Engenharia Elétrica e de Computação","Campinas",4
"Universidade Estadual de Campinas","1","N","","Universidade Estadual de Campinas","Campinas",5
"","","N","","","",6
