IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"EN","Inglês","BEM","BEM","BEM","BEM",0
"DE","Alemão","BEM","BEM","RAZOAVELMENTE","BEM",0
"ES","Espanhol","BEM","RAZOAVELMENTE","POUCO","BEM",0
"PT","Português","BEM","BEM","BEM","BEM",0
