NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","NAO_INFORMADO","Land Cover Classification on Temporarily Spaced Landsat8 Images","2016","Brasil","Português","","","",0
"Dissertação de mestrado","NAO_INFORMADO","Método de Análise de Espectroscopia Multivoxel","2017","Brasil","Português","","","",1
"Dissertação de mestrado","NAO_INFORMADO","Generalization for demographic differences in early-stage Alzheimer's disease diagnosis using convolutional neural networks","2017","Brasil","Português","","","",2
