NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id
"Slides","Diffusion MRI: from concepts to applications","2014","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","","NAO",0
"Slides","Adessowiki: Collaborative Scientific Programming Environment","2011","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",1
