NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Projeto Gráfico dos Cadernos de Pós-Graduação do Departamento de Comunicação e Artes da ECA-USP,Escola de Comunicação e Artes da ECA-USP,1993
Prêmio Jabuti (melhor capa),ABL,1998
"IV Prêmio 4º Prêmio Brasileiro ?Política e Planejamento Urbano e Regional?, na categoria melhor dissertação",Anpur - A Associção Brasileira de Pesquisa em Planejamento Urbano e Regional,2005
"Prêmio Capes de Tese 2012 da área de Economia pela tese ?Financeirização e transformações recentes no circuito imobiliário no Brasil?,",Capes,2012
Menção Honrosa do VIII Prêmio Brasileiro ?Política e Planejamento Urbano e Regional? na categoria de teses,ANPUR,2013
