NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,BEM,BEM,BEM
IT,Italiano,RAZOAVELMENTE,POUCO,NAO_INFORMADO,POUCO
ES,Espanhol,RAZOAVELMENTE,NAO_INFORMADO,NAO_INFORMADO,RAZOAVELMENTE
