SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Uma ponte para a especulação: a arte da renda na montagem de uma 'cidade global',2009
COMPLETO,Mobilidade urbana e direito à cidade: uma entrevista com Lúcio Gregori sobre transporte coletivo e Tarifa Zero,2016
COMPLETO,Notas sobre a Sala São Paulo e a nova fronteira urbana da cultura,2001
