SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Produção e Distribuição de Energia Elétrica","","",,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","Energia","",,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
