NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",66
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",67
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",68
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",69
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",70
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",71
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",72
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",73
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",74
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",75
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",76
"ENGENHARIAS","Engenharia Elétrica","","",77
"ENGENHARIAS","Engenharia Elétrica","","",84
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",173
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",174
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",175
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",233
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",234
"ENGENHARIAS","Engenharia Elétrica","Sistemas Elétricos de Potência","Medição, Controle, Correção e Proteção de Sistemas Elétricos de Potência",268
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",279
"ENGENHARIAS","Engenharia Elétrica","Sistemas Elétricos de Potência","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica",291
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",297
"ENGENHARIAS","Engenharia Elétrica","Sistemas Elétricos de Potência","Medição, Controle, Correção e Proteção de Sistemas Elétricos de Potência",304
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",320
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",333
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",334
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",335
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",336
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",337
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",365
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",366
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",367
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",391
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",392
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",416
"ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas",421
