NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Sergio Kurokawa","KUROKAWA, Sergio","1","4830845230549223",52,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",52,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",52,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","4","3563809681641435",52,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",53,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",53,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",53,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",54,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",54,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",55,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",55,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",56,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",56,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",56,,,,,,,,,,,,,,,
"Sergio Kurokawa","KUROKAWA, Sergio","1","4830845230549223",57,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",57,,,,,,,,,,,,,,,
