NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Allan Alves Montanari","MONTANARI, Allan Alves","1","",88,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",88,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","3","3563809681641435",88,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","4","",88,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","1","",89,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","2","3563809681641435",89,,,,,,,,,,,,,,,
"Manoel Ricardo Azevedo","Azevedo, M. R.","1","",90,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",90,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","3","",90,,,,,,,,,,,,,,,
"Maria das Graças Alvim","ALVIM, M. G.","4","",90,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",91,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",91,,,,,,,,,,,,,,,
"Maria das Graças Alvim","ALVIM, M. G.","3","",91,,,,,,,,,,,,,,,
"Manoel Ricardo Azevedo","Azevedo, M. R.","4","",91,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",92,,,,,,,,,,,,,,,
