ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"433",0
1,"506",0
2,"483",0
3,"477",0
4,"478",0
5,"454",0
6,"363",0
7,"337",0
8,"452",0
