NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Fenômenos Transitórios Em Linhas Muito Longas - Aplicação A Linhas Hexafásicas","1993","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Condicionamentos Básicos da Transmissão A Muito Longa Distância","1993","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"COMPLETO","A Graphic Editor For Creating Atp Input Files","1993","Japão","Inglês","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","Advantages Of Six-Phase Transmission As Compared With Three-Phase Transmission Concerning Environmental Impact","1993","Japão","Inglês","IMPRESSO","","NAO","","","NAO",3
"COMPLETO","A New Line Representation For Transient Studies - Aplication To A Six-Phase Transmission Line","1993","Japão","Inglês","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","A Graphical Interface For Creating Atp Input Files","1993","Portugal","Inglês","IMPRESSO","","NAO","","","NAO",5
"COMPLETO","Six-Phase Transmission Line - Propagation Characteristics And New Three-Phase Representation","1992","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",6
"COMPLETO","Comportamento e Otimização de Um Sistema Hexafasico de Transmissão Para Operação Normal e Fenômenos Transitórios","1991","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"COMPLETO","Desenvolvimento de Um Simulador CCAT Digital (DDCS)","1989","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"COMPLETO","Advanced Calculation Methods For HVDC Converter Harmonic Generation, Including AC-DC-AC Transfer","1989","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
"COMPLETO","Performance Analysis Of DC Lines Connected To Weak AC Systems","1987","Brasil","Português","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","","NAO",10
"COMPLETO","Mode Domain Multiphase Transmission Line - Use In Transient Studies","1998","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",11
"COMPLETO","New Mode-Domain Representation Of Transmission Line For Power Systems Studies","1998","Estados Unidos","Inglês","IMPRESSO","http://lsee.sel.eesc.sc.usp.br","NAO","","","NAO",12
"COMPLETO","New Mode-Domain Representation Of Transmission Line - Clarke Transformation Analysis","1998","Estados Unidos","Inglês","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","","NAO",13
"COMPLETO","New Mode Domain Multiphase Tranmission Line Model Applied To Transient Studies","1998","China","Inglês","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","","NAO",14
"COMPLETO","New Mode Domain Multiphase Tranmission Line Model - Transformation Matrix Modeling","1998","China","Inglês","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","","NAO",15
"COMPLETO","New Mode Domain Multiphase Tranmission Line Model - Clarke Transformation Evaluation","1998","China","Inglês","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","","NAO",16
