PARTICIPACAO-EM-SEMINARIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"486",0
1,"332",0
2,"419",0
3,"93",0
4,"157",0
5,"281",0
6,"96",0
7,"225",0
8,"231",0
9,"427",0
10,"269",0
11,"485",0
