TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"4",0
1,"5",0
2,"6",0
3,"7",0
4,"8",0
5,"9",0
6,"10",0
7,"11",0
8,"12",0
9,"13",0
10,"14",0
11,"19",0
12,"20",0
13,"21",0
14,"22",0
15,"23",0
16,"24",0
17,"25",0
18,"26",0
19,"27",0
20,"28",0
21,"29",0
22,"30",0
23,"31",0
24,"33",0
25,"34",0
26,"36",0
27,"37",0
28,"38",0
29,"39",0
30,"40",0
31,"41",0
32,"43",0
33,"44",0
34,"45",0
35,"46",0
36,"51",0
37,"52",0
38,"54",0
39,"55",0
40,"56",0
41,"57",0
42,"58",0
43,"59",0
44,"61",0
45,"68",0
46,"69",0
47,"70",0
48,"71",0
49,"110",0
50,"111",0
51,"112",0
52,"113",0
53,"118",0
54,"119",0
55,"123",0
56,"124",0
57,"125",0
58,"167",0
59,"169",0
60,"174",0
61,"175",0
62,"177",0
63,"178",0
64,"186",0
65,"187",0
66,"190",0
67,"191",0
68,"192",0
69,"193",0
70,"197",0
71,"204",0
72,"205",0
73,"211",0
74,"212",0
75,"226",0
76,"227",0
77,"233",0
78,"234",0
79,"235",0
80,"236",0
81,"237",0
82,"238",0
83,"239",0
84,"240",0
85,"241",0
86,"242",0
87,"253",0
88,"254",0
89,"255",0
90,"265",0
91,"266",0
92,"267",0
93,"268",0
94,"270",0
95,"278",0
96,"279",0
97,"280",0
98,"284",0
99,"285",0
100,"286",0
101,"295",0
102,"296",0
103,"297",0
104,"298",0
105,"302",0
106,"303",0
107,"312",0
108,"313",0
109,"314",0
110,"315",0
111,"316",0
112,"321",0
113,"323",0
114,"328",0
115,"339",0
116,"340",0
117,"341",0
118,"342",0
119,"343",0
120,"344",0
121,"345",0
122,"346",0
123,"368",0
124,"369",0
125,"371",0
126,"401",0
127,"402",0
128,"403",0
129,"409",0
130,"410",0
131,"411",0
132,"412",0
133,"413",0
134,"414",0
135,"415",0
136,"418",0
137,"441",0
138,"442",0
139,"446",0
140,"448",0
141,"456",0
142,"457",0
143,"458",0
144,"459",0
145,"460",0
146,"461",0
147,"462",0
148,"463",0
149,"474",0
150,"488",0
151,"489",0
152,"491",0
153,"499",0
154,"500",0
155,"501",0
156,"502",0
157,"490",0
