NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"6o Seminário Brasileiro de Sistemas Elétricos SBSE","","","","Natal","",0
"XXI SNPTEE Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","Florianópolis","",1
"XXII Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","Brasília","",2
"XVI Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","Campinas","",3
"XVII SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","","","","Uberlândia","",4
"3o. Seminário Brasileiro de Sistemas Elétricos SBSE","","","","Belém","",5
"XI SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA (XI SNPTEE)","","","","Rio de Janeiro","",6
"XIX Seminário Nacional de Produção e Transmissão de Energia Elétrica (XIX SNPTEE)","","","","Rio de Jnaeiro","",7
"2o. Seminário Brasileiro de Sistemas Elétricos SBSE","","","","Belo Horizonte","",8
"Seminário de Transmissão de Energia em Meia Onda - TMO 2013","","","","Campinas - SP","",9
"XX Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","Recife","",10
"XXIII SNPTEE Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","Foz do Iguaçu","",11
