PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"proteção direcional","ATP","Modelagem","models","","",,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","transmissão a longa distância","transmissão CCAT","transposição","","",,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","transmissão CCAT","potência natural elevada","feixes não convencionais","otimização de linha","",,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"atendimento a pequenas cargas","cabos pára-raios","linha de transmissão","","","",,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"falta interna","transformador","proteção diferencial","RTDS","Modelagem","",,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"micro cargas","cabos pára-raios","atendimento a pequenas cargas","acoplamento capacitivo","","",,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","Linha Polifasica","Transitorios Eletromagneticos","","","",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corrente Continua","Harmonicos","Telecomunicacao","","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominio dos Modos","Linha de Transmissao","modelagem de linhas de transmissão","","","",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominio dos Modos","Linha de Transmissao","modelagem de linhas de transmissão","","","",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominio dos Modos","Linha de Transmissao","modelagem de linhas de transmissão","","","",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominio dos Modos","Linha de Transmissao","modelagem de linhas de transmissão","","","",,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","domínio dos modos","transitorios eletromagnéticos","","","",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protecao Diferencial","Transformador de Potencia","redes neurais","","","",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banco de Capacitores","manobra de capacitor","sistema de distribuição","","","",,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monofásico","Transitorios Eletromagneticos","","","",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"permissividade do solo","dependência com a freqüência","parâmetros do solo","Transitorios Eletromagneticos","","",,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"otimização da transmissão","análise trifásica na freqüência fundamental","varredura na freqüência","Transitorios Eletromagneticos","","",,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros elétricos de linha de transmissão","dependência com a freqüência","cabos pára-raios","","","",,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros elétricos de linha de transmissão","medição","transitórios eletromagnéticos","","","",,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros do solo","comportamento eletromagnético do solo","dependência com a freqüência","transitórios eletromagnéticos","","",,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bancos de Capacitor","energização","","","","",,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","chaveamento sincronizado","","","","",,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de sensibilidade","religamento monopolar","Linha de Transmissao","arco secundário","","",,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de sensibilidade","Linha de Transmissao","parâmetros elétricos","","","",,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros do solo","dependência com a freqüência","Linha de Transmissao","Transitorios Eletromagneticos","","",,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","Harmônicos","conteúdo harmônico","","",,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de linha","estatística","chaveamento sincronizado","resistor de pré-inserção","Transitorios Eletromagneticos","Linha de Transmissao",,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","conteúdo harmônico","ramo de magnetização","sobrtensões não amortecidas","","",,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","transmissão em meio comprimento de onda","modelagem de linhas","falta trifásica","ATP","",,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção diferencial de transformador","RTDS","falta interna","transformador","rele","modelagem em tempo real",,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","proteção adaptativa","linha de transmissão","RTDS","",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção adaptativa","religamento monopolar","filtro","arco secundário","linha de transmissão","",,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","transmissão a longa distância","proteção","seletor de fase","RTDS","",,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","meia onda","transmissão a longa distância","arco secundário","","",,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco elétrico","conteúdo harmônico","religamento monopolar","oscilografia","","",,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alta capacidade de transmissão","linha de transmissão","feixes não convencionais","otimização de feixes","","",,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","meia onda","análise econômica","","","",,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","elo CA","energização","simulação digital","proteção",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de linha","transmissão em meio comprimento de onda","transmissão a longa distância","expansão do sistema elétrico","ensaio de campo","",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","religamento trifásico","religamento controlado","","","",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","religamento trifásico","religamento controlado","proteção adaptativa","","",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","transmissão em meio comprimento de onda","transmissão a longa distância","transitórios eletromagnéticos","","",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","transmissão em meio comprimento de onda","transmissão a longa distância","transitórios eletromagnéticos","","",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
"ensaio de campo","elo CA","energização de linha","transmissão a longa distância","transmissão em meio comprimento de onda","",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"acoplamento capacitivo","atendimento a pequenas cargas","cabos pára-raios","linha de transmissão","melhoria do atendimento","distribuição rural",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Interface Grafica","Transitorios Eletromagneticos","","","","",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","linha compensada","sobretensão transitória","proteção adaptativa","religamento controlado","religamento trifásico",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","religamento controlado","sobretensão transitória","linha de transmissão","linha compensada","",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","religamento controlado","Transitorio Eletromagnetico","","","",,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","linha compensada","religamento controlado","religamento trifásico","transitório eletromagnético","",,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"proteção","seletor de falta","linha de transmissão","transmissão em meio comprimento de onda","transmissão a longa distância","",,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
"arco elétrico","arco secundário","comprimento do arco","visão computacional","","",,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
"religamento controlado","religamento trifásico","linha compensada","linha de transmissão","","",,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
"religamento controlado","religamento trifásico","linha de transmissão","linha compensada","","",,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
"proteção","proteção distância","transmissão CCAT","transmissão em meio comprimento de onda","transmissão a longa distância","",,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","falta interna","falta monofásica","religamento controlado","linha de transmissão","linha compensada",,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
"falta interna","transformador de potência","","","","",,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
"falta interna","transformador de potência","","","","",,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
"religamento controlado","religamento trifásico","linha compensada","linha de transmissão","","",,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
"religamento controlado","religamento trifásico","linha compensada","linha de transmissão","","",,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
"otimização de feixes","linha não convencional","LPNE","circuito simples","","",,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","religamento controlado","proteção adaptativa","Linha de Transmissao","linha compensada","",,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","sobretensão transitória","tempo morto","","","",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","sobretensão transitória","chaveamento sincronizado","proteção adaptativa","","",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","Linha de Transmissao","proteção adaptativa","","","",,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","modelagem de linhas de transmissão","","","",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","modelagem de linhas de transmissão","Protecao Diferencial","","",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"ATP","religamento monopolar","","","","",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","modelagem de linha de transmissão","religamento monopolar","","","",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","ATP","arco secundário","religamento monopolar","","",,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","Protecao Diferencial","modelagem de linha de transmissão","Modelagem de Transformador","descargas atmosféricas",,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","proteção diferencial","transformador de potência","transitorios eletromagnéticos","","",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","","domínio dos modos","transitórios eletromagnéticos","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","Protecao Diferencial","Modelagem de Transformador","descargas atmosféricas","",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","Protecao Diferencial","descargas atmosféricas","Modelagem de Transformador","",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
"ATP","comportamento eletromagnético do solo","Linha de Transmissao","dependência com a freqüência","descargas atmosféricas","proteção diferencial de transformador",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
"ATP","Linha de Transmissao","modelagem de linhas de transmissão","comportamento eletromagnético do solo","","",,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
"Transitorios Eletromagneticos","energização de linha","longa distância","religamento monopolar","energização de transformador","ferro-ressonância",,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","transposição","Harmônicos","","","",,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
"parâmetros elétricos de linha de transmissão","Mathematica","dependência com a freqüência","","","",,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
"comportamento eletromagnético do solo","dependência com a freqüência","parâmetros do solo","","","",,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
"descargas atmosféricas","medição","","","","",,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
"descargas atmosféricas","medição","","","","",,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
"Transformador de Potencia","Protecao Diferencial","falta interna","","","",,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
"transformador de potência","Protecao Diferencial","falta interna","","","",,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
"transformador de potência","Protecao Diferencial","falta interna","análise harmônica","","",,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
"proteção diferencial de transformador","parâmetros do solo","transposição de LT","","","",,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","dependência com a freqüência","","","","",,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,
"linha de transmissão","autovalores/vetores","proteção diferencial de transformador","","","",,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","proteção diferencial de transformador","autovalores/vetores","","","",,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","proteção diferencial de transformador","","","","",,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","proteção diferencial de transformador","comportamento eletromagnético do solo","descargas atmosféricas","transposição de LT","",,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
"linha de transmissão","parâmetros elétricos","dependência com a freqüência","","","",,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
"meia onda","religamento monopolar","","","","",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"religamento trifásico","proteção adaptativa","Linha de Transmissao","","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","energização de linha","ensaio de campo","transmissão a longa distância","transmissão em meio comprimento de onda","",,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","transmissão a longa distância","transmissão em meio comprimento de onda","","","",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
"religamento trifásico","resistor de pré-inserção","chaveamento sincronizado","Linha de Transmissao","linha compensada","",,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","Transitorios Eletromagneticos","dependência com a freqüência","comportamento eletromagnético do solo","","",,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","Linha de Transmissao","","","",,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","elo CA","atendimento a pequenas cargas","transmissão a longa distância","transmissão em meio comprimento de onda","",,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
"visão computacional","arco elétrico","comprimento do arco","","","",,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
"religamento trifásico","chaveamento sincronizado","controle adaptativo","Linha de Transmissao","","",,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","ensaio de campo","","","",,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","arco elétrico","composição harmônica","","",,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
"energização de linha","meia onda","transmissão em meio comprimento de onda","transmissão a longa distância","","",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"mulheres na engenharia","","","","","",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","","","","",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"engenharia elértria","mulheres na engenharia","","","","",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
"calculo de parâmetros","ATP","Linha de Transmissao","","","",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"comportamento eletromagnético do solo","dependência com a freqüência","permissividade do solo","","","",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"longa distância","transposição de linha de transmissão","Transitorios Eletromagneticos","","","",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"longa distância","religamento monopolar","arco secundário","","","",,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
"linha hexafásica","Transitorios Eletromagneticos","","","","",,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
"religamento monopolar","arco secundário","","","","",,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Linha de Transmissao","transmissão a longa distância","transmissão em meio comprimento de onda","energização de linha","ensaio de campo","",,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
"longa distância","meia onda","Transitorios Eletromagneticos","","","",,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
"Linha de Transmissao","otimização de linha","parâmetros elétricos","potência natural elevada","","",,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","","","","",,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","ensaio de campo","","","",,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
"simulador em tempo real","proteção diferencial de transformador","Modelagem","filtro","","",,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
"Modelagem","transitorios eletromagnéticos","linha compensada","transmissão em meio comprimento de onda","transmissão a longa distância","",,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
"transitório eletromagnético","religamento monopolar","religamento trifásico","","","",,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
"potência natural elevada","linha de transmissão","transitório eletromagnético","feixes não convencionais","transmissão CCAT","",,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
"atendimento a pequenas cargas","linha de transmissão","transitório eletromagnético","","","",,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
"transitório eletromagnético","religamento monopolar","arco secundário","extinção do arco","proteção adaptativa","",,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
"proteção","proteção direcional","Linha de Transmissao","capacitor série","","",,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
"proteção direcional","transmissão a longa distância","transmissão em meio comprimento de onda","","","",,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,
"religamento monopolar","arco secundário","proteção adaptativa","transitórios eletromagnéticos","linha de transmissão","",,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,
"modelagem de linha de transmissão","circuito trifásico duplo","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"Linha de Transmissao","parâmetros elétricos","calculo de parâmetros","","","",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Linha de Transmissao","modelagem de linha de transmissão","Dominio dos Modos","","","",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"comportamento eletromagnético do solo","permissividade do solo","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
"religamento monopolar","arco secundário","transmissão a longa distância","","","",,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
"proteção distância","seletor de falta","impedância aparente","transmissão em meio comprimento de onda","transmissão a longa distância","",,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"comprimento do arco","arco elétrico","visão computacional","","","",,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
"proteção diferencial de transformador","algoritmo","poucas espiras","","","",,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
"religamento trifásico","fechamento sincronizado","resistor de pré-inserção","transmissão a longa distância","","",,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
"comportamento eletromagnético do solo","dependência com a freqüência","Linha de Transmissao","modelagem de linhas","Transitorios Eletromagneticos","",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
"religamento trifásico","Transitorios Eletromagneticos","proteção adaptativa","linha compensada","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Linha de Transmissao","meia onda","transmissão em meio comprimento de onda","transmissão a longa distância","transitorios eletromagnéticos","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
"","Protecao Diferencial","Modelagem","Transformador de Potencia","","",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"calculo de parâmetros","","Linha de Transmissao","Mathematica","","",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"calculo de parâmetros","","Linha de Transmissao","Mathematica","","",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Linha de Transmissao","Transitorios Eletromagneticos","ATP","","","",,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
"calculo de parâmetros","Linha de Transmissao","","","","",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
"Protecao Diferencial","Harmonicos","ATP","","","",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
"Linha de Transmissao","transposição","Harmonicos","","","",,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
"descargas atmosféricas","orografia","","","","",,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
"descargas atmosféricas","Malha de terra","","","","",,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
"guias de ondas","laboratório","","","","",,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
"eletrônica de potência","aulas teóricas","","","","",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
"linha de transmissão","calculo de parâmetros","","","","",,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
"descargas atmosféricas","medição","","","","",,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
"proteção diferencial de transformador","falta interna","transformador de potência","","","",,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
"arco secundário","religamento monopolar","","","","",,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
"transmissão a longa distância","meia onda","transitório eletromagnético","","","",,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
"arco secundário","religamento monopolar","proteção adaptativa","","","",,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
"ATP","religamento monopolar","","","","",,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,
"fluxo de potência ótimo","despacho de potência ativa","","","","",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
"Protecao Diferencial","Transformador de Potencia","Transitorio Eletromagnetico","redes neurais","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"transmissão a longa distância","FACTS","meia onda","","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"aterramento","transitórios eletromagnéticos","","","","",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"descargas atmosféricas","Linha de Transmissao","transitório eletromagnético","","","",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
"religamento monofásico","arco secundário","arco elétrico","","","",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
"Transitorios Eletromagneticos rápidos","Modelagem","campo elétrico","campo magnético","transformada de Fourier","resposta no tempo",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
"descargas atmosféricas","telecomunicação","Modelagem","","","",,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
"filtro ativo","redes neurais","controlador de corrente","","","",,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
"rigidez dielétrica","painel metálico","espaçamento","","","",,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
"comportamento eletromagnético do solo","dependência com a freqüência","ensaio de campo","permissividade do solo","","",,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
"análise de sensibilidade","parâmetros elétricos de linha de transmissão","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
"transposição de LT","transitórios eletromagnéticos","dependência com a freqüência","Harmônicos","","",,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
"curto-circuito","auto-excitação","gerador síncrono","","","",,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
"efeito coroa","Linha de Transmissao","modelagem no tempo","","","",,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
"resistor de pré-inserção","fechamento sincronizado","transitório eletromagnético","Linha de Transmissao","","",,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
"arco secundário","reator de neutro","religamento monopolar","otimização da transmissão","","",,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
"religamento monopolar","arco secundário","composição harmônica","proteção adaptativa","","",,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
"Linha de Transmissao","","","","","",,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
"meia onda","transitório eletromagnético","transmissão a longa distância","","","",,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
