PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"proteção diferencial","transformador de potência","redes neurais","transitorios eletromagnéticos","","",,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","domínio dos modos","","","","",,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção diferencial","transformador de potência","transitorios eletromagnéticos","","","",,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção diferencial","transformador de potência","transitórios eletromagnéticos","ATP","","",,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","calculo de parâmetros","","","","",,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"circuito trifásico duplo","linha de transmissão","Modelagem","","","",,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"otimização da transmissão","fluxo de potência trifásico","arco secundário","Transitorios Eletromagneticos","","",,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banco de Capacitores","ATP","Harmônicos","Transitorios Eletromagneticos","","",,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","parâmetros elétricos","modelagem de linha de transmissão","","","",,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","circuito trifásico duplo","modelagem de linha de transmissão","Transitorios Eletromagneticos","Microtran","",,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","permissividade do solo","Transitorios Eletromagneticos","ATP","","",,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"otimização da transmissão","Transitorios Eletromagneticos","Linha de Transmissao","arco secundário","","",,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
