FINALIDADE,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-PROCESSO,FINALIDADE-INGLES,PROCESSOS-OU-TECNICAS_Id
"Projeto Integrado CNPq - proc 520061/99-3(NV) EE AI","RESTRITA","CNPq","São Carlos","",0
"Projeto Povem Pesquisadora","RESTRITA","FAPESP","São Carlos","",1
"Projeto Integrado CNPq - Proc 500833/2003-6","RESTRITA","CNPq","Campinas","",2
"projeto de pesquisa - proc","RESTRITA","FAPESP","Campinas","",3
"Projeto de Pesquisa","IRRESTRITA","CNPq","Campinas","",4
"Projeto Integrado CNPq - Proc 520061/99-3(NV) EE AI","RESTRITA","CNPq","São Carlos","",5
