NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"ENTREVISTA","Mulheres na Engenharia","2012","Brasil","Português","NAO","","Mulheres na Engenharia","http://www.ustream.tv/recorded/25862236","NAO_INFORMADO","SIM",0
"ENTREVISTA","Uso de linhas semelhantes para o ensaio da manobra de energização do Elo CA","2012","Brasil","Português","NAO","","Uso de linhas semelhantes para o ensaio da manobra de energização do Elo CA","http://www.4shared.com/mp3/BiglELd6/14R_Panorama_Cincia_-_17_-_Ene.html","NAO_INFORMADO","SIM",1
