FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Desenvolvimento de modelos para uso em simuladores de transitórios","48","28","RESTRITA","FAPESP","São Carlos","",0
"Desenvolvimento de modelo de linha de transmissão","24","15","RESTRITA","CNPq","São Carlos","",1
"Projeto Integrado CNPq Proc 520061/99-3","24","46","RESTRITA","CNPq","São Carlos","",2
"Edital Universal 2001 - Processo 479486/01-8","24","48","RESTRITA","Cnpq","Campinas","",3
"Jovem Pesquisadora - Proc 98/14826-6","48","123","RESTRITA","FAPESP","Campinas","",4
"projeto integrado proc. 500833/2003-6","12","0","RESTRITA","cnpq","Campinas","",5
"projeto de consultoria","15","1045","RESTRITA","FUNCAMP","CAMPINAS","",6
"relatório de finalização de iniciação científica","24","53","RESTRITA","CNPq","Campinas","",7
"relatório tecnico consolidando pesquisa realizada na Iniciação científica","12","68","RESTRITA","FAPESP","São Carlos","",8
"relatório de consolidação de pesquisa realizada na iniciação científica","24","32","RESTRITA","CNPq","Campinas","",9
"relatório de consolidação das atividades realizzdas na iniciação científica","24","51","RESTRITA","CNPq","Campinas","",10
"relatório técnico de consolidação de atividades no apoio técnico","24","30","RESTRITA","CNPq","Campinas","",11
"relatório técnico de consolidação das atividades realizadas na iniciação científica","10","76","RESTRITA","FAPESP","São Carlos","",12
"relatório de consolidação de atividades desenvolvidas na iniciação científica","12","174","RESTRITA","CNPq","São Carlos","",13
"relatório de consolidação das atividades de iniciação científica","12","64","RESTRITA","CNPq","Campinas","",14
"relatório de consolidação dos resultados obtidos no projeto Integrado CNPq proc. 520061/99-3","24","22","RESTRITA","CNPq","Campinas","",15
"relatório de consolidação dos estudos realizados no âmbito do projeto integrado de pesquisa 520061/99-3","24","13","RESTRITA","CNPq","São Carlos","",16
"relatório parcial de projeto jovem pesquisador 98/14826-6","12","21","RESTRITA","FAPESP","São Carlos","",17
"relatório parcial de resultados técnicos do projeto jovem pesquisador 98/14826-6","12","48","RESTRITA","FAPESP","São Carlos","",18
"relatório parcial de atividades de pesquisa realizada no projeto jovem pesquisadora 98/14826-6","12","57","RESTRITA","FAPESP","São Carlos","",19
"relatório técnico de consolidação das pesquisas realizadas no âmbito do projeto jovem pesquisadora FAPESP 98/14826-6","48","110","RESTRITA","FAPESP","Campinas","",20
"relatório tecnico consolidando resultados obtidos na iniciação científica","10","37","RESTRITA","CNPq","São Carlos","",21
