SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"196","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance","Artigo publicado em periódicos(Completo)","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance",2
"204","Influence of Transmission Line Transposition in Electromagnetic Transients Phenomena","Trabalho publicado em anais de eventos(Completo)","",2
"205","Importancia de la Representación de Transposición en Líneas de Transmisión para Estudios de Transitorios Electromagnéticos","Trabalho publicado em anais de eventos(Completo)","",2
"302","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",3
"303","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","Trabalho publicado em anais de eventos(Completo)","",3
"311","Current and Voltage Harmonic Content of Artificially Generated Electrical Arc in Out-Door Experiment","Apresentação de trabalho(Congresso)","",3
"312","Reducción de las Máximas Corrientes de Arco Secundario para Sistemas de Transmisión Típicos durante la Maniobra de Abertura Monopolar","Trabalho publicado em anais de eventos(Completo)","",3
"313","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","Trabalho publicado em anais de eventos(Completo)","",3
"314","Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",3
"315","Estimation of Length Variation of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",3
"316","Transient Performance Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",3
"318","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",3
"319","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",3
"321","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",3
"323","Real Time Digital Simulation to Performance Evaluation of an Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",3
"238","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test","Trabalho publicado em anais de eventos(Completo)","",4
"244","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test","Participações em eventos(Congresso)","",4
"255","Proposition of a Half-Wave Length Energization Case Test","Trabalho publicado em anais de eventos(Completo)","",4
"256","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test ; Single-phase autoreclosure studies considering a robust and reliable secondary arc model based on a gray-box model ; Single-Phase Auto-Reclosure Studies: Some Basic Aspects on Mai","Apresentação de trabalho(Congresso)","",4
"257","Proposition of a Half-Wave Length Energization Case Test;","Participações em eventos(Congresso)","",4
"265","Alternativas Em CA Para Troncos De Transmissão A Muito Longa Distância ? Avaliação Do Comportamento Para Transitórios Eletromagnéticos","Trabalho publicado em anais de eventos(Completo)","",4
