OUTRAS-BANCAS-JULGADORAS_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"162",0
1,"163",0
2,"164",0
3,"165",0
4,"166",0
5,"304",0
6,"347",0
7,"372",0
8,"159",0
