NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","AVALIAÇÃO DA TENSÃO DE RESTABELECIMENTO TRANSITÓRIA E REJEIÇÃO DE CARGA EM UMA LINHA DE TRANSMISSÃO DE POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","2012","Brasil","Português","","","",0
"Dissertação de mestrado","ACADEMICO","Avaliação do desempenho do STATCOM'durante a manobra do religamento monopolar em linhas próximas","2016","Brasil","Português","","","",1
"Dissertação de mestrado","ACADEMICO","Desenvolvimento da proteção adaptativa para religamento monopolar em hardware para utilização em simulação em tempo real","2016","Brasil","Português","","","",2
"Dissertação de mestrado","ACADEMICO","Transitórios em sistema de potência","2014","Brasil","Português","","","",3
