NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Uma Estratégia Ótima de Despacho de Potência Ativa AC com Restrições na Transmissão","1999","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Redes Neurais Artificiais Aplicadas a Proteção Diferencial de Transformadores de Potência","1999","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Análise de uma linha de transmissão de meio comprimento de onda controlada por um dispositivo FACTS","2003","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Simulação de Fenômenos Transitórios em Sistemas de Aterramento","2003","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Modelagem de linhas de transmissão para análise de comportamento quanto à descargas atmosféricas","2003","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Extinção de Arco Secundário em Manobras Monofásicas - Conceitos Fundamentais e Critérios de Análise","2003","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Modelagem de Transformadores para Fenômenos Transitórios Rápidos","2004","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Descargas Atmosféricas Diretas em Linhas de Telecomunicações: Estudo e Modelamento","2004","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Estudo e Aplicação de Filtros Ativos Paralelos para Sistemas Trifásicos a Quatro Fios","2005","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Ensaios de Rigidez Dielétrica de Algumas Configurações de Espaçamentos: Comparação entre Resultados ao Ar Livre e Dentro de Painel Metálico","2006","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Comportamento Eletromagnético do Solo no Domínio da Freqüência : Tratamento de Dados de Campo e Influência no Desempenho de Linhas Aéreas de Transmissão de Energia Elétrica","2005","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Análise de Sensibilidade de Parâmetros Elétricos de Linhas de Transmissão no Domínio da Freqüência","2005","Brasil","Português","","","",11
"Mestrado","ACADEMICO","ANÁLISE DA CORRETA MODELAGEM DA TRANSPOSIÇÃO EM LINHAS DE TRANSMISSÃO NO DOMÍNIO DA FREQÜÊNCIA","2006","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Análise de Auto-Excitação e Curto-Circuito Capacitivo em Geradores Síncronos Conectados a Grandes Sistemas de Transmissão CCAT e CAAT","2007","Brasil","Português","","","",13
