NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XVII Congresso Brasileiro de Automática (XVII CBA)","","","","Bonito","",0
"4o Seminário Brasileiro de Sistemas Elétricos SBSE","","","","Goiânia","",1
"1998 IEEE PES Summer Meeting","","","","San Diego","",2
"IEEE PES Conference on Innovative Smart Grid Technologies (ISGT-LA 2013)","","","","São Paulo","",3
"International Conferenco on Power Systems Transients (IPST'97)","","","","Seattle","",4
"International Conference on Power Systems Transients (IPST?09)","","","","Kyoto","",5
"International Scientific and Technical Conference AC Power Delivery at Long and Very Long Distances","","","","Novosibirsk","",6
"XVIII Seminário Nacional de Produção e Transmissão de Energia Elétrica (XVIII SNPTEE)","","","","Curitiba - Paraná","",7
"2001 IEEE PES Summer Meeting","","","","Vancouver","",8
"International Conference on High Voltage Engineering and Application (ICHVE)","","","","Chongqing","",9
"Asia-Pacific Power and Energy Engineering Conference (APPEEC 2013)","","","","Pequim","",10
"Conferência Técnica Andina IEEE ANDESCON 2008","","","","Cusco","",11
"International Conference on Power Systems Transients (IPST?13)","","","","Vancouver","",12
"1999 International Conference on Power Systems Transients (IPST'99)","","","","Budapeste","",13
"International Conference on Power Systems Transients (IPST'95)","","","","Lisboa","",14
"IEEE PES General Meeting 2011","","","","Detroit","",15
"1992 IEEE PES SUMMER MEETING","","","","Seattle","",16
"International Conference on Power Systems Transients - IPST","","","","Delft","",17
"18th Power Systems Computation Conference 2014, PSCC?14","","","","Wroclaw","",18
"2005 International Conference on Power Systems Transients (IPST'05)","","","","Montreal","",19
"2000 IEEE PES Winter Meeting","","","","Cingapura","",20
"International Conference on Power Systems Technology (POWERCON'98)","","","","Pequim","",21
"International Conference on Power Systems Transients (IPST 2015)","","","","Cavtat","",22
"Asia-Pacific Power and Energy Engineering Conference","","","","Wuhan","",23
"CIGRE International Conference on Power Systems","","","","Wuhan","",24
"IEEE Electrical Power and Energy Conference (EPEC) 2011 Conference","","","","Winnipeg","",25
"International Conference on Power Systems Transients (IPST?07)","","","","Lyon","",26
"IEEE PES 2004 General meeting","","","","Denver","",27
"XV Seminário Nacional de Produção e Transmissão de Energia Elétrica (XV SNPTEE)","","","","Foz do Iguaçu","",28
"17th Power Systems Computation Conference 2011, PSCC?11","","","","Estocolmo","",29
"2001 IEEE PES Winter Meeting","","","","Columbus - Ohio","",30
"IEEE-PES Transmission and Distribution Latin America","","","","São Paulo","",31
"International Conference on Power Systems Transients (IPST'03)","","","","Nova Orleans - EUA","",32
"International Conference on Power Systems Transients (IPST'01)","","","","Rio de Janeiro","",33
"1999 IEEE PES Summer Meeting","","","","Edmonton","",34
