PATENTE_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"387",0
1,"389",0
2,"429",0
3,"447",0
4,"465",0
5,"466",0
6,"467",0
7,"468",0
8,"469",0
9,"471",0
10,"472",0
11,"492",0
12,"493",0
13,"495",0
14,"496",0
15,"505",0
16,"388",0
