CODIGO-INSTITUICAO,NOME-INSTITUICAO,OUTRAS-BANCAS-JULGADORAS_Id
"007900000004","Universidade Estadual de Campinas",0
"007900000004","Universidade Estadual de Campinas",1
"007900000004","Universidade Estadual de Campinas",2
"007900000004","Universidade Estadual de Campinas",3
"007900000004","Universidade Estadual de Campinas",4
"204400000003","Universidade Estadual de Feira de Santana",5
"071500000009","Pontifícia Universidade Católica de Campinas",6
"071500000009","Pontifícia Universidade Católica de Campinas",7
"007900000004","Universidade Estadual de Campinas",8
