NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Modelagem e Métodos Numéricos para Análise Linear de Estabilidade Eletromecânica, Ressonância Subsíncrona, Transitórios Eletromagnéticos e Desempenho Harmônico de Sistemas de Potência","2002","Brasil","Português","","","",0
"Doutorado","Metodologia Simplificada para Simulação do Comportamento Transitório de Malhas de Terra e Avaliação da Distribuição de Descargas Atmosféricas","2004","Brasil","Português","","","",1
"Doutorado","Representação de equivalentes de redes no domínio de fases","2004","Brasil","Português","","","",2
"Doutorado","Uma nova implementação do efeito Skin no modelo de linha de transmissão","2005","Brasil","Português","","","",3
"Doutorado","Metodologias para ajuste e Avaliação do Desempenho de Relés de Proteção Anti-Ilhamento de Geradores Síncronos Distribuídos","2006","Brasil","Português","","","",4
"Doutorado","Modelo Reduzido de Linha de Transmissão para Transitórios Eletromagnéticos - Aplicação de Propriedades Complexas","2005","Brasil","Português","","","",5
"Doutorado","Efeito de Descargas Atmosféricas no Desempenho de Linhas de Transmissão - Modelagens nos Domínios do Tempo e da Freqüência","2006","Brasil","Português","","","",6
"Doutorado","Goniofotômetro Inteligente Associado ao Traçamento de Curvas Características Clássicas de Luminotécnica","2005","Brasil","Português","","","",7
"Doutorado","Identificação dos parâmetros do arco elétrico através de estimação dual estados/parâmetros","2009","Brasil","Português","","","",8
"Doutorado","Influência da condutividade e permissividade do solo em função da frequência no cálculo da impedância longitudinal e admitância transversal de linhas aéreas de transmissão","2010","Brasil","Português","","","",9
"Doutorado","Uma metodologia para determinação das capacitâncias parasitas de motores de indução trifásicos de rotor em gaiola","2010","Brasil","Português","","","",10
"Doutorado","Comportamento de Transformadores para Fenômenos Eletromagneticos","2010","Brasil","Português","","","",11
"Doutorado","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","2010","Brasil","Português","","","",12
"Doutorado","Desarrollo de Equivalentes Multifrecuentes para el Cálculo de Transitorios Electromagnéticos en Tiempo Real","2011","Argentina","Espanhol","","","",13
"Doutorado","Incorporación de Baterías Redox en Parques Eólicos para Realizar la Regulación Secundaria de Frecuencia","2011","Argentina","Espanhol","","","",14
"Doutorado","Identificação de Parâmetros de Geradores Síncronos usando Métodos de Ajuste de Curvas e Ensaio em Frequência","2011","Brasil","Português","","","",15
"Doutorado","Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação","2011","Brasil","Português","","","",16
"Doutorado","Modelagem de Fenômenos Eletromagnéticos em Linhas de Transmissão em Corrente Contínua","2012","Brasil","Português","","","",17
"Doutorado","Análise de Redes Elétricas utilizando o Domínio Harmônico Modificado","2012","Brasil","Português","","","",18
"Doutorado","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","2012","Brasil","Português","","","",19
"Doutorado","Estudo de Paralelismo de Alimentadores Radiais de Distribuição de Energia Elétrica","2012","Brasil","Português","","","",20
"Doutorado","OTIMIZAÇÃO DE LINHA TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","2013","Brasil","Português","","","",21
"Doutorado","Estudos, Desenvolvimento e Construção de um Limitador de Correntes Elétricas com Núcleo Magnético Saturado","2015","Brasil","Português","","","",22
"Doutorado","Proteção de distância para linhas de transmissão de energia de meio comprimento de onda","2015","Brasil","Português","","","",23
"Doutorado","Estimação dos parâmetros elétricos de cabos de potência submarinos considerando incertezas","2016","Brasil","Português","","","",24
"Doutorado","Novas funções para a proteção de transformadores","2017","Brasil","Português","","","",25
"Doutorado","A Frequency-dependent multiconductor transmission line model with collocated voltage and current propagation","2017","Brasil","Inglês","","","",26
