NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"CONGRESSO","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test ; Single-phase autoreclosure studies considering a robust and reliable secondary arc model based on a gray-box model ; Single-Phase Auto-Reclosure Studies: Some Basic Aspects on Mai","2009","Japão","Inglês","NAO","","","NAO",0
"SEMINARIO","Controle Adaptativo Para Religamento Tripolar De Linhas De Transmissão Com Compensação Reativa Em Derivação Visando A Redução De Sobretensões Transitoria","2009","Brasil","Português","NAO","","","NAO",1
"CONFERENCIA","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","2011","China","Inglês","NAO","","","NAO",2
"CONFERENCIA","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","2011","China","Inglês","NAO","","","NAO",3
"CONFERENCIA","A Comparison of Overvoltage Control Methods during Three-Phase Reclosing varying the Length of Shunt Compensated Transmission Lines","2011","Canadá","Inglês","NAO","","","NAO",4
"CONFERENCIA","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","2011","Canadá","Inglês","NAO","","","NAO",5
"CONFERENCIA","Harmonic Content and Estimation of Length Variation of Artificcially Generated Electrical Arc in Out- Door Experiments","2011","Canadá","Inglês","NAO","","","NAO",6
"CONFERENCIA","Attending Small Loads along a Half-Wavelength Transmission Line","2011","Canadá","Inglês","NAO","","","NAO",7
"SEMINARIO","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","2011","Brasil","Português","NAO","","","NAO",8
"SEMINARIO","Análise de sensibilidade do desempenho de um controle adaptativo aplicado ao religamento tripolar de linhas de transmissão","2011","Brasil","Português","NAO","","","NAO",9
"SEMINARIO","Pesquisa em vão experimental de 500 kV : Modelo do arco elétrico para estudos de religamento monofásico","2011","Brasil","Português","NAO","","","NAO",10
"CONGRESSO","Current and Voltage Harmonic Content of Artificially Generated Electrical Arc in Out-Door Experiment","2011","Holanda","Inglês","NAO","","","NAO",11
