NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Conteúdo Harmônico Da Corrente E Tensão De Arcos Elétricos Gerados Artificialmente Em Ambiente Não Confinado","2010","Brasil","","NAO_INFORMADO","http://www.opec-eventos.com.br/cba2010/index.php","NAO","Apresentação Oral","Participante","","","NAO",0
"Congresso","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",1
"Congresso","1998 IEEE PES Summer Meeting","1998","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Congresso","Mulheres na Engenharia","2013","Brasil","","NAO_INFORMADO","http://itarget.com.br/newclients/ieee/?page_id=93","NAO","Conferencista","Convidado","","Women in Engineering","SIM",3
"Congresso","International Conferenco on Power Systems Transients (IPST'97)","1997","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",4
"Congresso","Proposition of a Half-Wave Length Energization Case Test;","2009","Japão","","NAO_INFORMADO","http://ipst09.ing.unibo.it/index.htm","NAO","Apresentação Oral","Participante","","","NAO",5
"Congresso","A New Methodology to Optimize Large EHV-Transmission System Transient Studies","2003","Rússia","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Congresso","XVIII Seminário Nacional de Produção e Transmissão de Energia Elétrica (XVIII SNPTEE)","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Congresso","2001 IEEE PES Summer Meeting","2001","Canadá","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",8
"Congresso","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test","2008","China","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",9
"Congresso","Energization of a Half-Wavelength Transmission Line - Pre-Operational Transients Studies","2013","China","","NAO_INFORMADO","http://www.appeecconf.org/2013/","NAO","Apresentação oral","Participante","","","NAO",10
"Congresso","Sensitivity Analysis of Secondary Arc Current for Different Transmission Systems Maneuver e Métodos Alternativos de Limitación de Sobretensiones Transitorias durante la Maniobra de Energización de Líneas de Transmisión","2008","Peru","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",11
"Congresso","Transmission Lines Energization: Relevant Factors on Statistical Evaluation of Transient Overvoltages","2013","Canadá","","NAO_INFORMADO","http://www.ipst2013.com/","NAO","Apresentação Oral","Participante","","Transmission Lines Energization: Relevant Factors on Statistical Evaluation of Transient Overvoltages","NAO",12
