ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"012600000005","Centro de Pesquisas de Energia Elétrica","5","8",0
1,"020200000009","Universidade Federal do Rio de Janeiro","9","2",0
2,"000200000993","Myra Engenharia Elétrica e Consultoria Ltda","14","7",0
3,"000400000997","Promon Engenharia Ltda","16","4",0
4,"000500000999","Ptel Engenharia S A","17","5",0
5,"000600000990","Themag Engenharia Ltda","18","6",0
6,"007900000004","Universidade Estadual de Campinas","19","1",0
7,"000100000991","Universidade de São Carlos Escola de Engenharia de São Carlos","20","3",0
8,"000900000996","IEEE Transactions on Power Delivery","21","",0
9,"001000000998","IEEE Transactions on Power Systems","22","",0
10,"001100000990","IEE Proceedings. Generation, Transmission & Distribution","23","",0
11,"001200000991","SBA. Sociedade Brasileira de Automática","24","",0
12,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","25","",0
13,"899900000007","Fundação de Amparo à Pesquisa do Estado de Minas Gerais","26","",0
14,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","27","",0
15,"002000000996","IEE Proceedings. Generation, Transmission & Distribution (Cessou em 2006. C","28","",0
16,"002100000998","European Transactions on Electrical Power","29","",0
17,"002200000990","IEE Proceedings. Generation, Transmission & Distribution (Cessou em 2006. C","30","",0
18,"002300000991","IEEE Transactions on Smart Grid","31","",0
19,"045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","32","",0
20,"002500000995","International Journal of Electrical Power & Energy Systems","33","",0
21,"002600000997","Journal of the Korean Institute of Illuminating and Electrical Installation","34","",0
22,"002800000990","IET Science, Measurement & Technology (Online)","35","",0
23,"002900000992","IET Generation, Transmission & Distribution (Online)","36","",0
24,"003000000994","Electric Power Systems Research (Print)","37","",0
25,"003100000996","International Journal of Electrical Power & Energy Systems","38","",0
