NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"ELABORACAO_DE_PROJETO","Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","1999","Brasil","Português","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","",0
"ELABORACAO_DE_PROJETO","Estudos de Modelagem de Linha de Transmissão","1999","Brasil","Português","IMPRESSO","Htpp://lsee.sel.eesc.sc.usp.br/cristina","NAO","","",1
"ELABORACAO_DE_PROJETO","DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS","2002","Brasil","Português","IMPRESSO","","NAO","","",2
"ELABORACAO_DE_PROJETO","DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS","2002","Brasil","Português","MEIO_MAGNETICO","","NAO","","",3
"ELABORACAO_DE_PROJETO","Jovem Pesquisador FAPESP - Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","1999","Brasil","Português","IMPRESSO","","NAO","","",4
"ELABORACAO_DE_PROJETO","desenvolvimento de modelos para estudos de transitórios eletromagnéticos e estudo de descargas atmosféricas","2003","Brasil","Português","IMPRESSO","","NAO","","",5
"CONSULTORIA","ESTUDOS PRÉ-OPERACIONAIS DE TRANSITÓRIOS ELETROMAGNÉTICOS PARA A EXPANSÃO DA INTERLIGAÇÃO NORDESTE-SUDESTE","2002","Brasil","Português","IMPRESSO","","NAO","","",6
"RELATORIO_TECNICO","INFLUÊNCIA DA TRANSPOSIÇÃO NOS ESTUDOS DE FENÔMENOS TRANSITÓRIOS ELETROMAGNÉTICOS EM LINHAS DE TRANSMISSÃO","2002","Brasil","Português","IMPRESSO","","NAO","","",7
"ASSESSORIA","Estudos de Parâmetros Elétricos de Linhas de Transmissão Usando a Ferramenta Computacional Mathematica","2002","Brasil","Português","IMPRESSO","","NAO","","",8
"RELATORIO_TECNICO","Medições das Características Elétricas (Condutividade e Permissividade) do Solo de Cachoeira Paulista-SP, no domínio da frequência.","2002","Brasil","Português","IMPRESSO","","NAO","","",9
"RELATORIO_TECNICO","ESTUDO DE DESCARGAS ATMOSFÉRICAS NATURAIS E INDUZIDAS","2003","Brasil","Português","IMPRESSO","","NAO","","",10
"RELATORIO_TECNICO","Suporte técnico para laboratório e atividades de campo","2003","Brasil","Português","IMPRESSO","","NAO","","",11
"RELATORIO_TECNICO","Utilização do EMTP na Simulação de Transformadores de Potência para Estudos de Proteção Digital Diferencial","1999","Brasil","Português","IMPRESSO","","NAO","","",12
"RELATORIO_TECNICO","Estudo da Proteção Diferencial de Transformador de Potência","2001","Brasil","Português","IMPRESSO","","NAO","","",13
"RELATORIO_TECNICO","Estudo da Proteção Diferencial de Transformador de Potência - Análise Harmônica","2003","Brasil","Português","IMPRESSO","","NAO","","",14
"RELATORIO_TECNICO","Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas","2003","Brasil","Português","IMPRESSO","","NAO","","",15
"RELATORIO_TECNICO","Estudos de Modelagem de Linha de Transmissão","2001","Brasil","Português","IMPRESSO","","NAO","","",16
"RELATORIO_TECNICO","Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","2001","Brasil","Português","IMPRESSO","","NAO","","",17
"RELATORIO_TECNICO","Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","2000","Brasil","Português","IMPRESSO","","NAO","","",18
"RELATORIO_TECNICO","Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","2002","Brasil","Português","IMPRESSO","","NAO","","",19
"RELATORIO_TECNICO","Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos","2003","Brasil","Português","IMPRESSO","","NAO","","",20
"RELATORIO_TECNICO","Desenvolvimento de programa para cálculo de parâmetros elétricos de linha de transmissão usando o ambiente Mathematica","2001","Brasil","Português","IMPRESSO","","NAO","","",21
