PRODUCOES-CT-DO-PROJETO_Id,PROJETO-DE-PESQUISA_Id
0,2
1,3
2,4
3,8
4,9
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,24
13,25
14,26
