NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Metodologia Aproximada para Otimização do Projeto do Sistema de Aterramento para fenômenos Rápido","2001","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Representação de equivalentes de redes no domínio de fases","2003","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Efeito de Descargas Atmosféricas no Desempenho de Linhas de Transmissão - Modelagens nos Domínios do Tempo e da Freqüência","2005","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Análise da Extinção do Arco Secundário em Linhas de Transmissão utilizando Equipamentos FACTS","2006","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","2007","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Métodos Fisicamente Robustos de Otimização e de Verificação da Integridade de Redes de Aterramento","2007","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Comportamento de Transformadores para Fenômenos Transitórios Rápidos","2008","Brasil","Português","","","Transformer response to very fast transients",6
"Exame de qualificação de doutorado","Modelagem Dos Fenômenos Eletromagnéticos Gerados Por Linhas De Corrente Contínua Em Alta Tensão","2009","Brasil","Português","","","",7
"Exame de qualificação de doutorado","Controle adaptativo para religamento tripolar rápido em linhas de transmissão com compensação reativa em derivação","2010","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Influência dos Parâmetros Transversais de uma Linha de Transmissão na Redução da Corrente de Arco Secundário durante a Manobra Monopolar","2010","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Estimação de Resposta de Cabos Submarinos empregando Filtros de Kalman","2014","Brasil","Português","","","",10
"Exame de qualificação de doutorado","Cálculo de Campo eletromagnético na Vizinhança de uma Linha de Transmissão para fenômenos Transitórios","2001","Brasil","Português","","","",11
