PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"105",0
1,"172",0
2,"173",0
3,"182",0
4,"198",0
5,"203",0
6,"210",0
7,"224",0
8,"258",0
9,"274",0
10,"282",0
11,"292",0
12,"293",0
13,"299",0
14,"300",0
15,"305",0
16,"330",0
17,"366",0
18,"367",0
19,"374",0
20,"383",0
21,"391",0
22,"470",0
23,"475",0
24,"494",0
25,"503",0
26,"512",0
