CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","XII SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","Recife","1993","Anais do XII SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","","","","156","162","","GAT/01","RECIFE, PE - Brasil","",0
"NACIONAL","XII SEMINARIO NACIONAL DA PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","Recife","1993","Anais do XII SEMINARIO NACIONAL DA PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","","","","171","176","","GAT-04","RECIFE, PE - Brasil","",1
"INTERNACIONAL","8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","Yokohama","1993","Proceedings of 8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","94","05","","357","360","","","YOKOHAMA, JAPAO","",2
"INTERNACIONAL","8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","Yokohama","1993","Proceedings of 8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","91","04","","349","352","","","YOKOHAMA, JAPAO","",3
"INTERNACIONAL","8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","Yokohama","1993","Proceedings of 8 INTERNATIONAL SYMPOSIUM ON HIGH VOLTAGE ENGINEERING","74","09","","245","248","","","YOKOHAMA, JAPAO","",4
"INTERNACIONAL","1 EUROPEAN CONFERENCE ON POWER SYSMTEMS TRANSIENTS","Lisboa","1993","Proceedings of 1 EUROPEAN CONFERENCE ON POWER SYSMTEMS TRANSIENTS","","","","5","11","","","LISBOA, PORTUGAL","",5
"INTERNACIONAL","1992 IEEE PES SUMMER MEETING","Seattle","1992","IEEE Transactions od Power Delivery","8","3","","1470","1483","","IEEE","SEATTLE, EUA","",6
"NACIONAL","XI SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA (XI SNPTEE)","Rio de Janeiro","1991","Anais do XI SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","","","","151","156","","RJ-GAT-20","RIO DE JANEIRO, RJ Brasil","",7
"NACIONAL","X SEMINARIO NACIONAL DE PROUCAO E TRANSMISSAO DE ENERGIA ELETRICA","Curitiba","1989","Anais do X SEMINARIO NACIONAL DE PROUCAO E TRANSMISSAO DE ENERGIA ELETRICA","","","","341","346","","CTBA-GSP-26","CURITIBA, PR - Brasil","",8
"NACIONAL","II SIMPOSIO DE ESPECIALISTAS EM PLANEJAMENTO E OPERACAO ELETRICA","São Paulo","1989","Anais do II SIMPOSIO DE ESPECIALISTAS EM PLANEJAMENTO E OPERACAO ELETRICA","","","","161","166","","SP15","SAO PAULO Brasil","",9
