NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","Eletrificação de pequenas vilas próximas das linhas de transmissão usando acoplamento eletromagnético","2016","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",0
"Seminário","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",1
"Seminário","Ensaio da manobra de energização de um tronco teste de um pouco mais de meio comprimento de onda","2013","Brasil","","NAO_INFORMADO","http://www.xxiisnptee.com.br/","NAO","Apresentação oral","Participante","","","NAO",2
"Seminário","XVI Seminário Nacional de Produção e Transmissão de Energia Elétrica","2001","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Seminário","XVII SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA","2003","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",4
"Seminário","Conceitos Fundamentais da Transmissão em um Pouco mais de Meio Comprimento de Onda","2010","Brasil","","NAO_INFORMADO","http://www.sbse.org.br/","NAO","Apresentação Oral","Participante","","","NAO",5
"Seminário","XI SEMINARIO NACIONAL DE PRODUCAO E TRANSMISSAO DE ENERGIA ELETRICA (XI SNPTEE)","1991","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Seminário","Análise Comparativa De Técnicas De Controle De Sobretensões Transitórias Na Manobra De Energização De Linhas De Transmissão","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Seminário","Métodos Alternativos para o Controle de Sobretensões Transitórias em Linhas de Transmissão","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Three-phase reclosure controlled switching","NAO",8
"Seminário","Estudo de transitórios da manobra de energização do Elo CA Teste sem defeito","2013","Brasil","","NAO_INFORMADO","http://www.dsce.fee.unicamp.br/~cristina/teste.html","NAO","Apresentação Oral","Participante","","","NAO",9
"Seminário","Controle Adaptativo Para Religamento Tripolar De Linhas De Transmissão Com Compensação Reativa Em Derivação Visando A Redução De Sobretensões Transitoria","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",10
"Seminário","Análise aprimorada de sobretensões não amortecidas aplicada à energização do autotransformador 230/138/13,8 kV ? 150 MVA da SE Jorge Teixeira","2015","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",11
