NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Análise de sensibilidade dos parâmetros elétricos de uma linha de transmissão trifásica","2005","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Comportamento Eletromagnético so Solo no Domínio da Freqüência : Tratamento de Dados de campo e Influência no Desempenho de Linhas Aéreas de Transmissão de Energia Elétrica","2005","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","ANÁLISE DA CORRETA MODELAGEM DA TRANSPOSIÇÃO EM LINHAS DE TRANSMISSÃO NO DOMÍNIO DA FREQÜÊNCIA","2006","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Análise de Sensibilidade da Corrente de Arco Secundário Para Diferentes Linhas de Transmissão","2007","Brasil","Português","","NAO","","Sensitivity analysis of secondary arc current of different transmission lines",3
"Dissertação de mestrado","ACADEMICO","Análise Comparativa de Técnicas de Controle de Sobretensões Transitórias nas Manobras de Energização e Religamento de Linhas de Transmissão","2007","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","2009","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","2012","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","2010","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR","2013","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","2012","Brasil","Português","","NAO","","",9
"Dissertação de mestrado","ACADEMICO","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","2014","Brasil","Português","","NAO","","",10
"Dissertação de mestrado","ACADEMICO","MODELAGEM DE UM RELÉ DE PROTEÇÃO DIFERENCIAL DE TRANSFORMADOR NO RTDS","2014","Brasil","Português","","NAO","","",11
"Dissertação de mestrado","ACADEMICO","Estudo de transitórios eletromagnéticos em linhas longas compensadas para um pouco mais de meio comprimento de onda","2015","Brasil","Português","","NAO","","",12
"Dissertação de mestrado","ACADEMICO","Analysis of single-phase and three-phase auto reclosing maneuver to eliminate single line fault","2016","Brasil","Inglês","","NAO","","",13
"Dissertação de mestrado","ACADEMICO","Ampliação da capacidade de transmissão de linhas aéreas melhorando a geometria dos feixes","2016","Brasil","Português","","NAO","","",14
"Dissertação de mestrado","ACADEMICO","Eletrificação de pequenas vilas próximas das linhas de transmissão usando acoplamento capacitivo dos cabos para-raios","2016","Brasil","Português","","NAO","","",15
"Dissertação de mestrado","ACADEMICO","Nova metodologia para detecção de falta no religamento monopolar","2017","Brasil","Português","","NAO","","",16
"Dissertação de mestrado","ACADEMICO","Modelagem de um Relé de proteção direcional de linhas de transmissão no ATP","2016","Brasil","Português","","NAO","","",17
"Dissertação de mestrado","ACADEMICO","Estudo do Elemento Direcional de Proteção em uma Linha de Transmissão de um Pouco Mais de Meio Comprimento de Onda","2017","Brasil","Português","","NAO","","",18
"Dissertação de mestrado","ACADEMICO","Implementação do religamento monopolar adaptativo rápido baseado na assinatura harmônica de tensão no simulador digital em tempo real (RTDS)","2015","Brasil","Português","","NAO","","",19
