DESCRICAO-SITUACAO-PATENTE,DATA-SITUACAO-PATENTE,STATUS-SITUACAO-PATENTE,DETALHAMENTO-DA-PATENTE_Id
"Depósito","13052011","SIM",0
"Depósito PCT","13052011","SIM",0
"Concessão","22082012","SIM",0
"Depósito","13052011","SIM",1
"Depósito PCT","13052011","SIM",1
"Concessão","07112012","SIM",1
"Depósito","09102009","SIM",2
"Depósito PCT","09102009","SIM",2
"Concessão","10102013","SIM",2
"Depósito","13052011","SIM",3
"Depósito PCT","13052011","SIM",3
"Concessão","21012014","SIM",3
"Depósito","30072015","SIM",4
"Depósito","14122012","SIM",5
"Depósito","09102009","SIM",6
"Depósito PCT","09102009","SIM",6
"Concessão","17032015","SIM",6
"Depósito PCT","09102009","SIM",7
"Depósito","09102009","SIM",7
"Concessão","21032014","SIM",7
"Depósito","24082015","SIM",8
"Depósito","04092015","SIM",9
"Depósito PCT","30082016","SIM",9
"Depósito","17092015","SIM",10
"Depósito PCT","15092016","SIM",10
"Depósito","14072016","SIM",11
"Depósito","12072016","SIM",12
"Concessão","17122014","SIM",13
"Depósito","09102009","SIM",13
"Depósito","10102008","SIM",14
"Depósito PCT","09102009","SIM",14
"Depósito","09032017","SIM",15
"Depósito","22042010","SIM",16
"Depósito PCT","22042010","SIM",16
