NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"International Conference on Power Systems Transients (IPST?09)","International Conference on Power Systems Transients (IPST?09)","Japão","Kyoto","",0
"XX Seminário Nacional de Produção e Transmissão de Energia Elétrica","Cigré - Brasil","","Recife","",1
"Asia-Pacific Power and Energy Engineering Conference","IEEE","China","Wuhan","",2
"Asia-Pacific Power and Energy Engineering Conference","IEEE","China","Wuhan","",3
"IEEE Electrical Power and Energy Conference (EPEC) 2011 Conference","IEEE","Canadá","Winnipeg","",4
"IEEE Electrical Power and Energy Conference (EPEC) 2011 Conference","IEEE","Canadá","Winnipeg","",5
"IEEE Electrical Power and Energy Conference (EPEC) 2011 Conference","IEEE","Canadá","Winnipeg","",6
"IEEE Electrical Power and Energy Conference (EPEC) 2011 Conference","IEEE","Canadá","Winnipeg","",7
"; XXI SNPTEE Seminário Nacional de Produção e Transmissão de Energia Elétrica","CIGRE","Brasil","Florianópolis","",8
"; XXI SNPTEE Seminário Nacional de Produção e Transmissão de Energia Elétrica","CIGRE","Canadá","Florianópolis","",9
"; XXI SNPTEE Seminário Nacional de Produção e Transmissão de Energia Elétrica","CIGRE","Brasil","Florianópolis","",10
"International Conference on Power Systems Transients - IPST","IPST","Holanda","Delft","",11
