PRODUTO-TECNOLOGICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"245",0
1,"272",0
2,"348",0
3,"349",0
4,"350",0
5,"351",0
6,"352",0
7,"353",0
8,"354",0
9,"355",0
10,"356",0
11,"357",0
12,"358",0
13,"3",0
