TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-BANCAS-JULGADORAS_Id
"","Outra","Parecerista Ad Hoc de projetos ANEEL","2002","Brasil","","","","","",0
"","Outra","Parecerista Ad Hoc de processos CNPq","2002","Brasil","","","","","",1
"","Outra","Revisora de artigos técnicos para IEEE Transactions on Power Delivery","2002","Estados Unidos","","","","","",2
"Outra","Outra","Revisora de artigos técnicos para o IEE Proceeding - Generation, Transmission and Distribution","2003","Inglaterra","","","","","",3
"","Outra","Revisora de artigos técnicos para a Revista Controle & Automação","2003","Brasil","","","","","",4
"","Outra","Banca examinadora promoção na Carreira do Magistério Superior","2011","Brasil","Português","","","","",5
"","Outra","Avaliação do Congresso de Iniciação Científica PIBIC - PIBITI/CNPq da PUC-Campinas","2011","Brasil","Português","","","","",6
"","Outra","processo seletivo para concessão de bolsas de Iniciação Científica PIBIC - PIBITI/CNPq na PUC-Campinas","2012","Brasil","Português","","","","",7
"Outra","Outra","Comitê técnico do International Conference on Power Systems Transients","2004","Canadá","","","","","",8
