NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Geraldo Martins Costa","COSTA, G. M.","2","",0,,,,
"Diógenes Pereira Gonzaga","GONZAGA, D. P.","3","",0,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",0,,,,
"Denis Vinínius Coury","COURY, D. V.","2","4102044100700526",1,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",1,,,,
"Maurício Aredes","AREDES, Maurício","4","",2,,,,
"edson watanabe","WATANABE, Edson","2","",2,,,,
"nelson Henrique da costa santiago","SANTIAGO, N. H. C.","3","",2,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",2,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","2","3563809681641435",3,,,,
"Maurício Aredes","AREDES, Maurício","3","",3,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",3,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",4,,,,
"Antonio Carlos Ferreira","FERREIRA, Antonio Carlos","3","",4,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",4,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",5,,,,
"Maurício Aredes","AREDES, Maurício","3","",5,,,,
