NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Relevant Parameters in a Statistical Analysis&#x2014;Application to Transmission-Line Energization","2014","","Inglês","NAO_INFORMADO","","NAO","10.1109/TPWRD.2014.2317875","Relevant Parameters in a Statistical Analysis&#x2014;Application to Transmission-Line Energization","NAO",26,
"COMPLETO","Enhanced analysis of oscillatory undamped overvoltages in transformer energization","2016","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.epsr.2016.03.034]","NAO","10.1016/j.epsr.2016.03.034","","NAO",27,
"COMPLETO","Energization simulations of a half-wavelength transmission line when subject to three-phase faults-Application to a field test situation","2016","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.epsr.2016.03.029]","NAO","10.1016/j.epsr.2016.03.029","","NAO",28,
"COMPLETO","A commercial relay model for the RTDS validated against the actual relay","2016","","Inglês","MEIO_DIGITAL","","NAO","10.1007/s00202-016-0496-9","A commercial relay model for the RTDS validated against the actual relay","NAO",29,
"COMPLETO","Comparison between traditional single-phase auto reclosing and adaptive technique based on harmonic content measurement","2016","","Inglês","MEIO_DIGITAL","[doi:10.1049/iet-gtd.2016.0849]","NAO","10.1049/iet-gtd.2016.0849","","NAO",30,
"COMPLETO","Implementation and Performance Evaluation of a Harmonic Filter for Use in Adaptive Single-Phase Reclosing","2017","","Inglês","MEIO_DIGITAL","","NAO","10.1049/iet-gtd.2016.1630","Implementation and Performance Evaluation of a Harmonic Filter for Use in Adaptive Single-Phase Reclosing","NAO",31,
"COMPLETO","Faulted Phase Selection for Half-Wavelength Power Transmission Lines","2017","","Inglês","MEIO_DIGITAL","","NAO","10.1109/TPWRD.2017.2747518","","NAO",32,
"COMPLETO","Single-Phase Auto Reclosing Mitigation Procedure for Half Wavelength Transmission Line","2017","","Inglês","NAO_INFORMADO","","SIM","10.1049/iet-gtd.2017.0099","","NAO",33,
"COMPLETO","Comparison of secondary arcs for reclosing applications","2017","","Inglês","MEIO_DIGITAL","[doi:10.1109/tdei.2017.006188]","NAO","10.1109/tdei.2017.006188","","NAO",34,
"COMPLETO","Methodology for optimizing the capacity and costs of overhead transmission lines by modifying their bundle geometry","2017","","Inglês","VARIOS","[http://www.sciencedirect.com/science/journal/03787796?sdc=1]","NAO","10.1016/j.epsr.2017.10.005","","NAO",35,
"COMPLETO","Technical and economic comparison between direct current and half-wavelength transmission systems for very long distances","2017","","Português","NAO_INFORMADO","[http://ietdl.org/t/MlKF1]","NAO","10.1049/iet-gtd.2017.0024","","NAO",36,
"NAO_INFORMADO","Micro-loads electrification: Use of insulated shielding wires of a 500 kV transmission line","2017","","Inglês","NAO_INFORMADO","","NAO","","","NAO",,0
